timestamp,dpid,src_mac,dst_mac,packet_count,byte_count,duration_sec,pps,bps,avg_pkt_size
1765538724.9764206,3,00:00:00:00:00:06,00:00:00:00:00:07,45,2900,22.635396053291235,2,1025.2901120277834,64
1765538725.9764206,2,00:00:00:00:00:02,00:00:00:00:00:08,66,4074,13.302379081301046,5,2450.6572320819605,64
1765538726.9764206,1,00:00:00:00:00:01,00:00:00:00:00:07,87,86658,43.64538209723419,2,15884.093253993398,1024
1765538727.9764206,2,00:00:00:00:00:03,00:00:00:00:00:07,109,103129,21.82768120579424,5,37797.565162982064,1024
1765538728.9764206,4,00:00:00:00:00:06,00:00:00:00:00:02,16,1148,16.949824981927968,1,542.0919351085141,64
1765538729.9764206,3,00:00:00:00:00:07,00:00:00:00:00:03,288,18543,57.72150688759648,5,2570.052355216527,64
1765538730.9764206,1,00:00:00:00:00:05,00:00:00:00:00:02,29,2018,29.143314835330255,1,553.9581954840725,64
1765538731.9764206,1,00:00:00:00:00:02,00:00:00:00:00:08,111,6482,55.58841472828924,2,932.9027756673503,64
1765538732.9764206,1,00:00:00:00:00:05,00:00:00:00:00:07,230,223684,46.044077819243626,5,38864.39088549753,1024
1765538733.9764206,1,00:00:00:00:00:07,00:00:00:00:00:03,11,824,2.3496541185427526,5,2806.6891262961244,64
1765538734.9764206,2,00:00:00:00:00:06,00:00:00:00:00:07,90,97867,18.15448612439072,5,43126.354138700146,1024
1765538735.9764206,2,00:00:00:00:00:01,00:00:00:00:00:04,181,25194,36.23153628055971,5,5563.069190232618,128
1765538736.9764206,1,00:00:00:00:00:04,00:00:00:00:00:03,76,110534,19.170542601972883,4,46126.61327342374,1500
1765538737.9764206,4,00:00:00:00:00:08,00:00:00:00:00:02,42,2582,42.57695305504053,1,485.217116405096,64
1765538738.9764206,3,00:00:00:00:00:02,00:00:00:00:00:08,24,22755,8.111018187404227,3,22443.55703130803,1024
1765538739.9764206,2,00:00:00:00:00:04,00:00:00:00:00:07,123,131828,30.811613850240963,4,34228.23199005732,1024
1765538740.9764206,1,00:00:00:00:00:03,00:00:00:00:00:07,11,1438,2.8364983298287836,4,4056.7610603190005,128
